RNA023479,RNA023491,RNA023504,RNA023506,RNA023520,RNA023514,RNA023523,RNA023526,RNA023534,RNA023539,RNA023540,RNA023545,RNA023550,RNA023551,RNA023553,RNA023555,RNA023556,RNA023559,RNA023561,RNA023562,RNA023567,RNA023568,RNA023572,RNA023573,RNA023575,RNA023581,RNA023585,RNA023587,RNA023593,RNA023594,RNA023596,RNA023603,RNA023605,RNA023614,RNA023616,RNA023617,RNA023618,RNA023619,RNA023521,RNA022818,RNA022822,RNA022824,RNA022832,RNA022836,RNA022838,RNA022852,RNA022853,RNA022855,RNA022854,RNA022860,RNA022867,RNA022871,RNA022880,RNA022883,RNA022885,RNA022887,RNA022904,RNA022906,RNA022911,RNA022915,RNA022921,RNA022923,RNA022925,RNA022946,RNA022948,RNA022956,RNA022972,RNA022975,RNA022981,RNA022987,RNA022992,RNA022993,RNA022995,RNA023001,RNA023024,RNA023027,RNA023049,RNA023058,RNA023066,RNA023068,RNA023071,RNA023078,RNA023080,RNA023087,RNA023092,RNA023099,RNA023117,RNA023129,RNA023131,RNA023134,RNA023138,RNA023143,RNA023146,RNA023152,RNA023153,RNA023167,RNA023170,RNA023174,RNA023176,RNA023179,RNA023185,RNA023190,RNA023198,RNA023199,RNA023200,RNA023203,RNA023208,RNA023209,RNA023222,RNA023225,RNA023227,RNA023226,RNA023229,RNA023239,RNA023242,RNA023267,RNA023269,RNA023275,RNA023282,RNA023284,RNA023285,RNA023286,RNA023141,RNA023098,RNA023169,RNA023403,RNA023404,RNA023405,RNA023407,RNA023409,RNA023410,RNA023331,RNA023299,RNA023411,RNA023337,RNA023339,RNA023341,RNA023345,RNA023351,RNA023414,RNA023355,RNA023357,RNA023416,RNA023418,RNA023361,RNA023363,RNA023423,RNA023367,RNA023425,RNA023371,RNA023432,RNA023435,RNA023436,RNA023438,RNA023442,RNA023448,RNA023450,RNA023451,RNA023454,RNA023457,RNA023458,RNA023465,RNA023466,RNA023467,RNA023468,RNA023470,RNA023399,RNA023473,RNA023474,RNA023632,RNA023637,RNA023638,RNA023642,RNA023643
CSTA,DDOST,C1orf52,MYO7B,METTL22,SNAP23,SLC44A1,B3GAT1,UTRN,LYVE1,DDX60,,CRLF3,DAPK2,C12orf76,HNRNPDL,DBN1,CTNS,,DBF4,G0S2,,HP,MAP4,MTATP6P1,ZFAS1,CTSD,GBP5,GPAT4,GP1BA,GTF2H5,,CTNNA1,,UBE2F,TMSB15A,XIST,ZFAND2B,NAP1L4,,CYBA,CTSG,CPPED1,LTA4H,BRI3,KMT2A,MFAP3L,GABARAPL2,GNLY,MMP9,GFI1B,MAP3K13,MYH9,GNLY,TRAK2,LGI4,FKBP5,TAPBP,TNIP1,SNRPN,,LSM14A,TP53I3,MTCO1P12,CRYM,ZNF185,VKORC1L1,,MAP2K3,LTA4H,,CRK,MTND2P28,TKT,TRIP12,STXBP2,TNS1,MAFG,FOXO3,ATF7IP2,MORF4L1P1,C20orf27,LRRFIP1,COMMD7,FYB1,MTPN,FLI1,CST7,COX14,COX19,CYTH1,CRYM,EXO1,C11orf68,GPR18,DCLK2,CTSH,G6PD,GNA15,MAP4K4,CNR2,CYLD,GNG2,DCAF12,HCLS1,CTNNAL1,MEIS1,LCN2,TESC,HDAC9,CNST,TOMM5,FPR2,UTRN,COX7B,TMEM258,YPEL5,CA1,BTN3A2,TMEM258,MBP,C6orf120,CTSW,FMNL3,CPPED1,MUC13,TNS1,CST7,CTH,,CACNB1,GIT2,CTSS,,,TSC22D1,MIA3,ZFAS1,,DERA,MNDA,TMEM40,,CAPZB,,GZMB,MNDA,CALR,YBX1P1,ARNT,MED10,UBE2S,YBX1P10,MSL1,DYNC1LI1,KRT5,CSK,MTCO1P12,,,EVI2B,,,CYTOR,LAMP2,DEK,FYB1,PDGFA,CCDC7,,CXCR5,,,TBXAS1
CTBS,DDX21,C1orf56,MYO9B,MFAP3L,SNCA,SLC4A1,B3GAT3,VCL,LYZ,DEF6,,CRNKL1,DAPP1,C15orf39,HNRNPH3,DBNL,CTSA,,DBN1,G3BP2,,HPSE,MAP4K4,MTCO1P12,ZNF185,CTSG,GCA,GPR18,GP9,GTF3C6,,CTNNAL1,,UCP2,TNIP1,YBX1P1,ZFAS1,NAT8B,,CYBC1,CTSH,CPQ,LTF,BRI3BP,KMT2C,MFSD2B,GALNT2,GP9,MNDA,GFOD1,MAP3K7CL,MYO18A,GNS,TREML1,LILRB3,FKBP8,TAX1BP3,TP53I3,SNX3,,LSP1,TPM2,MTDHP3,CSF3R,ZNF331,WDR1,,MAP3K1,LTF,,CRKL,MTND4P12,TLK1,TSC22D1,SUPT4H1,TOMM5,MAGED2,FPR1,ATG10,MPP1,C21orf91,LRRIQ1,COMT,G0S2,MTURN,FLII,CTBS,COX16,COX6B1,CYTH2,CSAD,EZR,C11orf96,GPR183,DCLRE1A,CTSW,GAB1,GNAI2,MAPK1,CNTRL,CYP20A1,GNG5,DCAF16,HCST,CTNNBIP1,MFAP3L,LCOR,TFF3,HECA,CNTLN,TOX2,FRMD3,VCL,CPD,TMEM40,YWHAH,CA2,BTN3A3,TMEM40,MCF2L,C6orf132,CTTN,FNBP1,CPT1A,MUC2,TOMM5,CSTA,CTNNA1,,CACYBP,GJA4,CTSW,,,TSPAN32,MICU1,ZNF280D,,DGKD,MOB1A,TNIP1,,CARD11,,HACD4,MOB1A,CAMK1,YBX1P10,ARPC1A,MED13L,UBTF,YOD1,MSN,DYNLRB1,KRT7,CSKMT,MTND2P28,,,EXOC7,,,DAAM1,LAMTOR1,DELE1,FYN,PDGFRB,CCDC71,,CYB561D2,,,TC2N
CTH,DDX28,C21orf58,NAA38,MFN2,SNHG1,SLC4A4,B3GNT2,VIL1,MADD,DEFA5,,CRYBG1,DAZAP2,C15orf40,HNRNPUL1,DCAF12,CTSD,,DBNL,GABARAPL2,,HRH2,MAP7,MTG1,,CTSS,GCG,GPR183,GPAT4,GUCD1,,CTNNBIP1,,UHRF2,TNS1,YBX1P10,ZNF185,NCK2,,CYFIP2,CTSS,CPSF6,LUC7L,BRMS1,KMT2D,MGA,GATA1,GPR155,MOB1A,GGCT,MAP4,MYO1F,GP1BA,TRHDE,LIMS1,FLI1,TBX3,TPM2,SNX9,,LTA4H,TPM3,MTHFD2L,CSGALNACT2,,WDR26,,MAP3K2,LURAP1L,,CRLF3,MTPN,TLN1,TSC22D3,SUSD1,TPM2,MAN2A2,FPR2,ATG101,MPRIP,C22orf46,LSM14A,COQ10A,G3BP2,MXI1,FLOT2,CTNNA1,COX19,COX7B,CYTOR,CSF3R,F11R,C12orf75,GPR89A,DCTN1,CTTN,GAB2,GNAQ,MAPKAPK2,COA3,CYP4F3,GNG8,DCAF6,HDAC9,CTNND1,MFNG,LCP1,TGFB1I1,HECTD4,CNTRL,TPM2,FTH1P10,WASF1,CPPED1,TMEM63A,YY1AP1,CA5BP1,BTNL9,TMEM63A,MCM6,C6orf226,CUL4B,FNBP1L,CR1,MUC7,TOMM7,CTBS,CTNNAL1,,CADM2,GK,CTTN,,,TST,MIER1,,,DGKH,MOB2,TNS1,,CARD16,,HAGH,MOB1B,CAMK1D,YIF1B,ARPC4,MFAP3L,UCP2,ZCCHC7,MT2A,DYNLT1,LAGE3,CSNK1E,MTPN,,,EXT2,,,DAB2,LANCL3,DENND4A,G0S2,PDIA6,CCDC71L,,CYB5D2,,,TCN1
CTNNA1,DDX41,C22orf46,NAAA,MFSD2B,SNHG11,SLPI,B3GNT5,WASF1,MAP2K3,DEGS1,,CSAD,DBI,C16orf86,HPSE,DCLK1,CTSG,,DCAF10,GABRE,,HSP90B1,MAPKAPK2,MTHFD2L,,CTSW,GDPD5,GPR89A,GPR155,GUCY1A1,,CTNND1,,UIMC1,TPM2,YIF1B,ZNF280D,NCL,,CYLD,CTSW,CR1,LURAP1L,BROX,KMT2E,MIA3,GBP2,GPR183,MOB2,GIGYF2,MAP4K4,MYO1G,GP9,TRIM58,LINC00511,FLII,TBXA2R,TPM3,SOX4,,LTF,TPSAB1,MTMR12,CSK,,WFDC1,,MAP3K7CL,LXN,,CRY1,MTURN,TMC5,TSPAN32,SYK,TPM3,MAP1A,FRMD3,ATG14,MS4A1,C2CD2,LSP1,COQ4,G6PD,MYCBP2,FLVCR1,CTNNAL1,COX5B,CPD,DAAM1,CSGALNACT1,F13A1,C14orf93,GPS2,DCUN1D1,CUL4B,GABARAPL1,GNAZ,MAPRE2,COBL,CYP4V2,GNLY,DCLK2,HECA,CTNS,MFSD1,LCP2,THOC2,HELLPAR,COBL,TPM3,FTH1P20,WDR1,CPQ,TMOD3,ZEB2,CAB39,BTRC,TMSB15A,MED12L,C6orf62,CUTALP,FNDC3B,CRAT,MXI1,TPM2,CTNNA1,CTNND1,,CADPS2,GLA,CUL4B,,,TUBA4A,MIGA2,,,DGLUCY,MOB3A,TOMM5,,CARD19,,HAGHL,MOB2,CAMK2G,YLPM1,ARPC5,MFN2,UHMK1,ZEB1,MTATP6P1,DYNLT3,LAMP2,CST3,MTURN,,,EZH2,,,DALRD3,LAP3,DENND5A,G2E3,PDK4,CCDC78,,CYB5R1,,,TENT5C
CTNNAL1,DDX56,C2CD2,NABP1,MFSD4B,SNHG9,SMARCA2,B4GALT1,WDR1,MAP3K1,DEK,,CSF3R,DBNL,C16orf91,HSPA13,DCLRE1A,CTSW,,DCAF12,GALNT2,,HSPA13,MAPRE2,MTMR3,,CTTN,GGCT,GPS2,GPR18,GUSB,,CTNS,,UPF3A,TPM3,YPEL5,,NCOA2,,CYP1B1,CTTN,CREBBP,LXN,BRPF3,KREMEN1,MICAL2,GBP5,GPS2,MOB3A,GIMAP4,MAP7,MYO6,GPAT4,TRIP12,LINC00853,FLOT2,TC2N,TPST2,SPARCL1,,LURAP1L,TPST2,MTND1P23,CSNK1E,,WIPF1,,MAP3K8,LY9,,CRYBG1,MUC2,TMEM219,TSPAN9,SYNE2,TPST2,MAP1LC3B,FRMD4B,ATG16L1,MS4A6A,C2CD5,LTA4H,COQ7,GABARAPL1,MYH9,FMNL1,CTNNBIP1,COX6B1,CPEB4,DAB2,CSK,FAH,C15orf39,GPX4,DCXR,CXCL5,GABARAPL2,GNG2,MAX,COL21A1,CYTH1,GOLGA8A,DCLRE1A,HEMGN,CTSA,MFSD2B,LDHB,TLE4,HEMGN,COCH,TRAK2,FTH1P8,WDR26,CPSF6,TMSB15A,ZFAND2B,CABIN1,BUD13,TNFRSF13B,MED13L,C7orf50,CXCL5,FOLR3,CREBBP,MYH9,TPM3,CTNNAL1,CTNS,,CALB2,GLIPR1,CXADR,,,TUBB1,MISP3,,,DIAPH1,MORC3,TOMM7,,CARD6,,HAND2,MOB3A,CAMSAP1,YOD1,ARPC5L,MFSD8,UTRN,ZEB2,MTCO1P12,DYSF,LAMTOR1,CST7,MUC7,,,EZR,,,DAP,LASP1,DERA,G3BP2,PDLIM1,CCDC82,,CYB5R3,,,TFF3
CTNND1,DEF6,C2CD3,NADK,MFSD6,SNN,SMARCA5,B4GALT4,WDR26,MAP3K7CL,DENND4A,,CSK,DCAF11,C17orf75,HSPA2,DCP2,CTTN,,DCAF8,GATA1,,HSPA2,MAX,MTND1P23,,CUL4B,GIGYF2,GPX4,GPR183,GYPC,,CTSA,,UTRN,TPP1,YWHAH,,NCOA4,,CYP3A5,CUL4B,CREBL2,LY9,BRWD1,KRT19,MICU1,GFI1B,GPX4,MORC3,GIMAP7,MAPK1,MYO9B,GPR155,TSC22D1,LINC00863,FLVCR1,TCF7,TRAK2,SPOCD1,,LXN,TRAK2,MTND2P28,CSNK1G3,,WNK1,,MAP4,LYL1,,CRYM,MUC7,TMEM243,TSPYL2,SYNPO,TRAK2,MAP1LC3B2,FTH1P10,ATG16L2,MSN,C2orf49,LTF,CORO1A,GABARAPL2,MYL4,FMNL3,CTNND1,COX7B,CPPED1,DAP,CSKMT,FAM107A,C16orf91,GRAP2,DDB1,CXCL8,GABRE,GNG5,MBNL3,COL23A1,CYTH4,GOLGA8B,DCP2,HERC1,CTSD,MFSD6,LGALS12,TLK1,HEPACAM2,COL21A1,TRAPPC1,FTLP3,WIPF1,CR1,TNNC2,ZNF185,CABLES1,BZW1P2,TNFRSF13C,MEF2C,C8orf82,CXCR2P1,FOXC1,CREBZF,MYL4,TPST2,CTNNBL1,CTPS1,,CALCOCO1,GLIS3,CXCL5,,,TYROBP,MKRN1,,,DIAPH2,MORF4L1P1,TP53I3,,CARD8,,HBB,MORC3,CAMSAP2,YWHAH,ARPP19,MGAM,VASP,ZFAS1,MTDHP3,E2F1,LANCL3,CTBS,MXI1,,,F13A1,,,DAPK3,LBH,DEXI,GAB2,PDLIM7,CCDC85C,,CYBA,,,TK1
CTNS,DEGS1,C2CD5,NAMPT,MGAM,SNORD3A,SMARCC1,B4GALT5,WFDC1,MAP4,DENND4B,,CSNK1E,DCAF12,C18orf25,HSPA6,DCTN1,CUTALP,,DCLK1,GATAD2B,,HSPB11,MBNL3,MTND2P28,,CUTALP,GIMAP4,GRAP2,GPX4,GZMA,,CTSD,,VCL,TPST2,ZEB1,,NCOR2,,CYP4F3,CWC27,CREG1,LYL1,BRWD3,KRT5,MINK1,GFOD1,GRAP2,MORF4L1P1,GLA,MAPRE2,NAA38,GPR157,TSC22D3,LINC00989,FMNL1,TENT5C,TREML1,SPTAN1,,LY9,TREML1,MTND4P12,CSNK2A2,,YBX1P1,,MAP4K4,LYN,,CRYZL1,MXI1,TMEM258,TTR,SYTL3,TREML1,MAP2K3,FTH1P20,ATG2A,MT1E,C2orf68,LXN,CORO1C,GALNT2,MYO1B,FN1,CTNS,CPA3,CPQ,DAPK2,CSNK1E,FAM107B,C17orf67,GRB2,DDHD1,CXCR2P1,GALNT1,GNG8,MBP,COL27A1,CYTIP,GP1BA,DCTN1,HERC2,CTSH,MGA,LGALS4,TLN1,HERC1,COL27A1,TREML1,FURIN,WNK1,CR2,TNS1,,CABP5,C11orf24,TNFRSF1B,MEIS1,C9orf72,CXCR4,FOXN3,CREG1,MYO1B,TRAK2,CTNND1,CTSC,,CALCOCO2,GLRX,CXCR2P1,,,UACA,MLEC,,,DIP2A,MPP1,TPM3,,CARM1,,HBD,MORF4L1P1,CAMTA1,ZEB1,ARRB1,MIA2,VIL1,ZNF106,MTND1P23,E2F4,LASP1,CTNNA1,MYH9,,,FAH,,,DAPP1,LCOR,DGAT1,GABARAPL2,PDZD8,CCDC88A,,CYFIP1,,,TKT
CTSA,DEK,C2orf42,NAP1L4,MGAT4A,SNRPN,SMIM1,B4GALT7,WIPF1,MAP4K4,DENND5A,,CST3,DCAF6,C18orf32,HTATIP2,DCUN1D1,CXCL5,,DCLRE1A,GFI1B,,HTATIP2,MCEMP1,MTPN,,CWC22,GIMAP6,GRB2,GRAP2,GZMB,,CTSS,,VKORC1,TRAK2,ZEB2,,NDRG2,,CYSTM1,CXCL5,CRK,LYN,BSG,KRT7,MIR29B2CHG,GGA2,GRB2,MPP1,GLIPR1,MAT2B,NABP1,GPR18,TSPAN32,LINC01003,FNBP1,TFF3,TRHDE,SPTB,,LYL1,TRHDE,MTPN,CSRNP3,,YBX1P10,,MAP7,LYZ,,CSAD,MYCBP,TMEM40,TUBA4A,TAF10,TRIM58,MAP3K1,FTH1P8,ATG2B,MT1M,C2orf69,LY9,CORO2B,GATA1,MYO1F,FNBP1,CTRC,CPD,CPSF6,DAPK3,CSNK1G3,FAM117A,C18orf32,GRK2,DDI2,CXCR4,GALNT2,GNLY,MCEMP1,COL6A3,CYTOR,GP9,DCUN1D1,HHEX,CTSS,MGAT4B,LGALSL,TMC5,HERC2,COL28A1,TRIM58,FXYD5,YBX1P1,CREBBP,TOLLIP,,CACNA1D,C11orf54,TNIP1,MFAP3L,C9orf78,CXorf38,FOXO3,CRIM1,MYO1F,TREML1,CTNS,CTSD,,CALD1,GLRX5,CXCR4,,,UBE2C,MMD,,,DIPK1B,MPRIP,TPST2,,CARMIL1,,HBEGF,MPZ,CAND1,ZEB2,ARRB2,MICAL2,VOPP1,ZNF280D,MTPN,ECHDC1,LBH,CTNNAL1,MYO1B,,,FAM102A,,,DAXX,LCP1,DGKH,GABRE,PEA15,CCDC88B,,CYFIP2,,,TLK1
CTSC,DENND4A,C2orf68,NAT8B,MICAL2,SNX3,SMIM5,B9D2,WNK1,MAP7,DERA,,CST7,DCP2,C19orf25,HTRA2,DCXR,CXCR2P1,,DCP2,GGCT,,HTN3,MED13,MTURN,,CXCL5,GIMAP7,GRK2,GRB2,HACD4,,CTSW,,VKORC1L1,TREML1,ZNF185,,NDUFA4,,CYTH1,CXCL6,CRKL,LYPLA1,BST1,KTN1,MISP3,GGCT,GRINA,MS4A1,GMFG,MAX,NAP1L4,GPR183,TSPAN9,LINC01089,FNBP1L,THBD,TRIM58,SPTBN1,,LYN,TRIM58,MYCBP2,CST3,,YIF1B,,MAPK1,MAN2A2,,CSF3R,MYCBP2,TMEM63A,TUBB1,TAF1D,TRIP12,MAP3K5,FTL,ATG3,MTATP6P1,C2orf88,LYL1,COTL1,GDI1,MYO6,FNBP1L,CTSA,CPNE5,CPT1A,DAPP1,CST3,FAM120B,C19orf12,GRK3,DDOST,CXCR5,GAS7,GON4L,MED13,COLGALT1,D2HGDH,GPR18,DCXR,HIKESHI,CTSW,MGLL,LIMS1,TMEM131L,HEXIM1,COMMD3,TRIP12,FYB1,YBX1P10,CREBZF,TP53I3,,CACNA2D1,C11orf68,TNS1,MFNG,CA1,CYB5A,FPR1,CRK,MYO7B,TRHDE,CTSA,CTSG,,CALHM2,GMDS,CYB561D2,,,UBE2F,MMP1,,,DIPK2A,MS4A1,TRAK2,,CARMIL2,,HBM,MRPS31,CAP1,ZFAS1,ARRDC1,MICOS10,VSIR,ZNF331,MTR,EDEM3,LCP1,CTNND1,MYO1F,,,FAM104A,,,DAZAP2,LCP2,DHFR,GALNT2,PF4,CCDC88C,,CYLD,,,TLN1
CTSD,DENND4B,C2orf76,NBR1,MICOS10,SNX9,SNCA,BABAM2,XIST,MAP7D1,DGAT1,,CTBS,DCTN1,C19orf48,ICAM2,DDB1,CXCR4,,DCTN1,GGH,,HTRA2,MED13L,MUC7,,CXCL8,GIMAP8,GRK3,GRK2,HAGH,,CTTN,,WASF1,TRHDE,ZNF271P,,NDUFA4L2,,CYTH4,CXCR2P1,CRLF3,LYST,BTBD1,LAGE3,MITF,GHRL,GRK2,MS4A6A,GMPR,MBNL3,NAT8B,GPX4,TST,LINC01781,FNDC3B,TKT,TRIP12,SRGN,,LYZ,TRIP12,MYH9,CST7,,YOD1,,MAPRE1,MAP1LC3B,,CSK,MYH9,TMEM63B,TXNL4B,TBXA2R,TSC22D1,MAP3K7CL,FTLP3,ATG4B,MTCO1P12,C3,LYN,COX14,GFI1B,MYO7B,FOXC1,CTSD,CPPED1,CR1,DAZAP2,CST7,FAM13B,C19orf25,GRN,DDX21,CYB561A3,GATA1,GP9,MED13L,COMMD1,DAAM1,GPR183,DDHD1,HIP1R,CTTN,MIA3,LINC00853,TMEM140,HIGD1A,COMMD7,TRPM5,FYN,YIF1B,CREM,TPI1,,CACNB2,C11orf71,TOB1,MFSD1,CA11,CYB5D2,FPR2,CRKL,MYO9B,TRIM58,CTSC,CTSS,,CALR,GMIP,CYB5D2,,,UBE2H,MMP9,,,DLC1,MSN,TREML1,,CARS2,,HCFC1,MS4A1,CAPG,,ARRDC2,MICU1,WDR1,ZNF91,MTSS1,EEA1,LCP2,CTNS,MYO9B,,,FAM107A,,,DBNL,LDLRAP1,DHRS7,GAS2L3,PF4V1,CCDC9,,CYP3A5,,,TMEM140
CTSH,DENND5A,C2orf88,NCF2,MICU1,SPARCL1,SNHG11,BACE2,YBX1P1,MAPK1,DGAT2,,CTNNA1,DCUN1D1,C1GALT1,IFI16,DDI2,CYB561D2,,DCUN1D1,GIGYF2,,ICAM2,MEGF9,MXI1,,CXCR2P1,GIP,GRK5,GRK3,HAUS1,,CUL4B,,WDR1,TRIM58,ZNF280D,,NDUFAF3,,CYTIP,CXCR3,CROCCP2,LYZ,BTBD10,LAMP2,MKNK2,GIGYF2,GRK3,MSN,GNAI2,MCEMP1,NCF2,GRAP2,TUBA4A,LINC01871,FOLR3,TLK1,TSC22D1,SSH2,,M6PR,TSC22D3,MYL4,CSTA,,YPEL5,,MAPRE2,MAP2K3,,CSNK1G3,MYO18A,TMEM87A,UBE2F,TC2N,TSC22D3,MAP4,FXYD5,ATG4C,MTDHP3,C3orf38,LYZ,COX16,GGCT,MYO9B,FOXK1,CTSS,CR1,CREBBP,DBNL,CSTA,FAM210B,C19orf38,GSE1,DDX54,CYB5A,GBP1,GPAT4,MEF2C,COMMD3,DAB2,GPS2,DDOST,HIPK1,CUL4B,MICU1,LINC00863,TMEM219,HIKESHI,COMT,TSC22D1,G0S2,YOD1,CRIM1,TPM2,,CACYBP,C12orf57,TPM3,MGA,CA13,CYB5R1,FRMD3,CRLF3,NAA38,TRIP12,CTSD,CTSW,,CAMK1D,GMPR,CYB5R1,,,UBE2O,MMRN2,,,DLG1,MT2A,TRHDE,,CASC19,,HCK,MS4A6A,CAPN2,,ARRDC3,MIER1,WDR26,,MTURN,EEF1B2P3,LEPROT,CTPS1,NAA38,,,FAM107B,,,DCAF11,LENG8,DHX38,GATA1,PGP,CCDC90B,,CYP4B1,,,TMEM219
CTSS,DENND6B,C3,NCF4,MID1IP1,SPI1,SNHG20,BACH1,YBX1P10,MAPKAPK2,DGKD,,CTNNAL1,DCXR,C1QA,IFNGR1,DDX19A,CYB5A,,DCXR,GIMAP4,,ICAM3,MFAP3L,MYCBP2,,CXCR4,GIT2,GSE1,GRK6,HBB,,CXCL5,,WDR26,TRIP12,ZNF331,,NDUFB3,,CYTOR,CXCR4,CRY1,MADD,BTBD2,LAMTOR1,MKRN1,GIMAP4,GRK6,MT1E,GNAQ,MED10,NCF4,GRB2,TUBB1,LPAR6,FOXC1,TLN1,TSC22D3,SSR4,,MACC1,TSPAN32,MYLK,CTBS,,YWHAH,,MAX,MAP3K5,,CSRNP2,MYO1B,TMSB15A,UBE2H,TCEAL9,TSPAN32,MAP4K4,FYB1,ATG4D,MTHFD2L,C3orf52,M6PR,COX19,GIMAP4,MYZAP,FOXN3,CTSW,CR2,CREBL2,DCAF11,CTBS,FAM216B,C19orf44,GSTA1,DEDD,CYB5D2,GBP2,GPR155,MFAP3L,COMMD6,DAP,GPX4,DDX21,HIPK2,CXCL5,MID1IP1,LINC00989,TMEM258,HIPK1,COQ4,TSPAN7,G3BP2,YPEL5,CRISP3,TPM3,,CAD,C12orf73,TPSB2,MGST1,CA2,CYB5R3,FTH1P10,CRTAC1,NABP1,TSC22D3,CTSH,CTTN,,CAMKMT,GNA12,CYB5R3,,,UHMK1,MNDA,,,DLL4,MTATP6P1,TRIP12,,CASC3,,HCLS1,MSN,CAPRIN2,,ARRDC4,MINK1,WFDC21P,,MUC15,EEF1B2P6,LGALS12,CTSA,NABP1,,,FAM111A,,,DCAF12,LEPROT,DIAPH1,GATAD2B,PGRMC1,CCDC92,,CYTH1,,,TMEM243
CTSW,DERA,C3AR1,NCL,MIGA2,SPINK1,SNHG9,BACH2,YIF1B,MAPRE1,DGKH,,CTNNBL1,DDB1,C1QB,IGF2BP3,DDX21,CYB5D2,,DDB1,GIMAP6,,IFNGR1,MFN2,MYH9,,CYB561,GJA4,GSTA1,GRPEL1,HBD,,CXCL8,,WDR44,TSPAN32,,,NDUFS5,,D2HGDH,CXCR5,CRYBG1,MAGED2,BTD,LANCL3,MLH3,GIMAP6,GRN,MT2A,GNAZ,MED13,NCK2,GRIN2B,UBE2F,LPCAT4,FOXN2,TMEM140,TSPAN32,STAG2,,MAGED2,TUBA4A,MYO1B,CTNNA1,,ZEB1,,MBNL3,MAP3K7CL,,CST3,MYO1F,TNIP1,UBE2O,TCN1,TUBA4A,MAPRE2,FYN,ATIC,MTND2P28,C3orf70,MALSU1,COX5B,GIMAP6,NAA38,FOXO3,CTTN,CREBBP,CREG1,DCAF12,CTNNA1,FAM234A,C1GALT1,GSTO1,DEF6,CYB5R1,GC,GPR183,MFN2,COMT,DAP3,GRAP2,DDX3Y,HIPK3,CXCL6,MIER1,LINC01089,TMEM40,HIPK2,COQ6,TUBB1,G6PD,YWHAH,CRK,TPST2,,CADM2,C12orf76,TPST2,MIA3,CA5BP1,CYBA,FTH1P20,CSF3R,NAMPTP1,TTC14,CTSS,CUL4B,,CAMSAP1,GNAI2,CYBA,,,UHRF2,MOB1A,,,DMTF1,MTCO1P12,TSC22D3,,CASD1,,HCST,MT2A,CAPS,,ARSA,MISP3,WIPF1,,MX1,EFCAB13,LGALS3,CTSC,NAT8B,,,FAM117A,,,DCAF16,LEPROTL1,DIMT1,GBP2,PICALM,CCDC97,,CYTH2,,,TMEM40
CTTN,DGAT1,C3orf52,NCOA2,MINK1,SPP1,SNN,BAHCC1,YOD1,MAPRE2,DHRS1,,CTNND1,DDX21,C1RL,IGFBP2,DDX41,CYB5R1,,DDOST,GIMAP7,,IGF1,MGA,MYO18A,,CYB5A,GLA,GSTM3,GSTA1,HBM,,CXCR2P1,,WFDC1,TSPYL2,,,NDUFS8,,DAB2,CYB5A,CS,MAN2A2,BTK,LAPTM5,MMP9,GIMAP7,GSE1,MTATP6P1,GNG5,MED13L,NCKAP1L,GRK2,UBE2H,LRBA,FOXN3,TMEM158,TUBA4A,STAG3,,MAP1LC3B,TUBB1,NAA38,CTNNAL1,,ZEB2,,MBP,MAP4,,CST7,MYO1G,TNS1,UBE2V1,TCTA,TUBB1,MAX,G0S2,ATL3,MTND4P12,C4orf3,MAP2K3,COX6B1,GIMAP7,NABP1,FPR1,CUL4B,CREBL2,CRIM1,DCAF6,CTNNBIP1,FAM241A,C1QA,GSTP1,DEGS1,CYB5R3,GCA,GPS2,MGA,COMTD1,DAPP1,GRB2,DEGS1,HK1,CXCL8,MIGA2,LINC01781,TMEM63A,HIPK3,COQ7,TYROBP,GAB2,ZEB2,CRKL,TRAK2,,CADPS,C14orf93,TRAK2,MICAL2,CAAP1,CYBC1,FTH1P8,CSGALNACT1,NCF1,TUBA4A,CTSW,CUTALP,,CAMTA1,GNG2,CYBB,,,UNC93B1,MOB2,,,DMTN,MTFR1L,TSPAN9,,CASP1,,HDAC8,MTATP6P1,CAPZA1,,ART5,MITF,WLS,,MXI1,EFCAB14,LGALSL,CTSD,NCF2,,,FAM118A,,,DCAF5,LGALS12,DIP2A,GCG,PIGN,CCM2,,CYTH4,,,TMSB15A
